county,county_name,Wheat_Acre_Value_Year,Corn_Acre_Value_Year,CRP_Acre_Cost_Year,Pasture_Acre_Value_Year,Tree_Removal_Per_Acre_Cost_Once,Wetland_development_Per_Acre_Cost_Once
64,NEMAHA,160.41,649.11,-105.5,41.5,-600,-6705
65,NUCKOLLS,200.8,627.03,-44.64,40.5,-600,-6705
66,OTOE,136.17,649.11,-79.38,39.5,-600,-6705
67,PAWNEE,129.83,571.4,-127.89,48.5,-600,-6705
68,PERKINS,285.62,544.52,-76.81,17.07,-600,-6705
69,PHELPS,242.34,844.24,-112.08,29.5,-600,-6705
70,PIERCE,260.8,717.19,-88.91,69.5,-600,-6705
71,PLATTE,246.38,765.49,-37.9,49.5,-600,-6705
72,POLK,246.38,765.52,-86.76,36,-600,-6705
73,RED WILLOW,181.18,599.56,-118.66,21,-600,-6705
74,RICHARDSON,141.37,603.31,-125.29,40,-600,-6705
75,ROCK,290.23,718.94,-94.26,17,-600,-6705
76,SALINE,188.1,649.11,-97.2,41.5,-600,-6705
77,SARPY,246.38,731.76,-126.71,39,-600,-6705
78,SAUNDERS,245.23,702.91,-34.43,44.5,-600,-6705
79,SCOTTS BLUFF,299.46,623.23,-98.98,10,-600,-6705
80,SEWARD,246.38,664.14,-169.14,46,-600,-6705
81,SHERIDAN,226.18,566.38,-114.47,9.4,-600,-6705
82,SHERMAN,235.99,730.08,-46.63,44,-600,-6705
83,SIOUX,331.78,560.98,-112.77,7.3,-600,-6705
84,STANTON,260.8,735.01,-39.13,58,-600,-6705
85,THAYER,218.68,699.68,-68.1,32.5,-600,-6705
86,THOMAS,290.23,692.93,-47.31,10.5,-600,-6705
87,THURSTON,260.8,735.15,-136.94,57.9,-600,-6705
88,VALLEY,155.79,701.15,-75.75,37,-600,-6705
89,WASHINGTON,246.38,731.84,-32.06,68,-600,-6705
90,WAYNE,260.8,735.01,-145.54,77,-600,-6705
91,WEBSTER,140.21,601.28,-74.37,36,-600,-6705
92,WHEELER,290.23,718.94,-114.02,21,-600,-6705
93,YORK,246.38,810.02,-127.11,39,-600,-6705
