Species,Common_Name,lAsym,k,t0,tmax,Age,Length
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,36,143.0915206
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,37,144.4335173
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,38,145.726218
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,39,146.9714335
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,40,148.1709081
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,41,149.3263219
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,42,150.4392936
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,43,151.511382
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,44,152.5440891
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,45,153.5388614
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,46,154.4970924
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,47,155.4201244
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,48,156.3092503
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,49,157.1657157
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,50,157.9907202
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,51,158.7854196
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,52,159.550927
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,53,160.2883147
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,54,160.9986157
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,55,161.6828251
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,56,162.3419011
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,57,162.976767
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,58,163.5883122
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,59,164.1773933
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,60,164.7448355
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,61,165.2914337
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,62,165.8179534
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,63,166.3251324
Acipenser fulvescens,Lake_sturgeon,179.625,0.037425,-6.555571429,64,64,166.8136809
